Name: 广东体育, URL: http://116.28.124.202:8520/rtp/239.77.0.112:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 103 ms
Name: 广东体育, URL: http://121.13.85.170:8000/rtp/239.77.0.112:5146$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 238 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.0.112:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 278 ms
Name: 广东体育, URL: http://121.13.85.170:8000/rtp/239.77.1.97:5146$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 116 ms
Name: 广东体育, URL: http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 488 ms
Name: 广东体育, URL: http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 488 ms
Name: 广东新闻, URL: http://61.145.208.119:9090/rtp/239.77.0.173:5146$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 171 ms
Name: 广东新闻, URL: http://121.13.85.170:8000/rtp/239.77.0.173:5146$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 280 ms
Name: 广东新闻, URL: http://121.13.85.170:8000/rtp/239.77.0.4:5146$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 1 ms
Name: 广东新闻, URL: http://125.93.74.27:9002/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 488 ms
Name: 广东新闻, URL: http://125.93.74.27:9002/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 505 ms
Name: 广东珠江, URL: http://116.28.124.202:8520/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 108 ms
Name: 广东珠江, URL: http://61.145.208.119:9090/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 123 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 176 ms
Name: 广东珠江, URL: http://121.13.85.170:8000/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 216 ms
Name: 江门综合, URL: http://tidelive.jmtv.cn/lsdream/4x3T0dO/993/o734w00.m3u8, Date: None, Resolution: None, Response Time: 3265 ms
Name: 江门综合, URL: http://tidelive.jmtv.cn/lsdream/4x3T0dO/993/o734w00.m3u8, Date: None, Resolution: None, Response Time: 3323 ms
Name: 深圳卫视, URL: http://27.10.75.50:8010/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 15 ms
Name: 深圳卫视, URL: http://27.10.215.110:8010/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 16 ms
Name: 深圳卫视, URL: http://60.26.62.168:8000/rtp/225.1.1.117:5002$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 26 ms
Name: 深圳卫视, URL: http://218.68.55.35:8888/rtp/225.1.1.117:5002$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 29 ms
Name: 深圳卫视, URL: http://119.98.124.146:4022/rtp/239.254.96.137:8896$1920x1080, Date: 2024-09-04, Resolution: 1920x1080, Response Time: 32 ms
Name: 深圳卫视, URL: http://115.216.2.43:4022/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 36 ms
Name: 深圳卫视, URL: http://111.165.213.195:8000/rtp/225.1.1.117:5002$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 53 ms
Name: 深圳卫视, URL: http://124.230.56.93:55555/rtp/239.76.253.188:9000$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 54 ms
Name: 深圳卫视, URL: http://27.10.77.52:8007/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 57 ms
Name: 深圳卫视, URL: http://60.26.2.199:7000/rtp/225.1.1.117:5002$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 63 ms
Name: 深圳卫视, URL: http://27.10.75.50:8007/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 69 ms
Name: 深圳卫视, URL: http://219.145.19.189:5554/rtp/239.112.205.67:5140$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 74 ms
Name: 深圳卫视, URL: http://118.250.138.131:8888/rtp/239.76.253.188:9000$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 77 ms
Name: 深圳卫视, URL: http://180.158.130.39:1024/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-06, Resolution: 1920x1080, Response Time: 82 ms
Name: 深圳卫视, URL: http://171.118.123.185:8083/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 83 ms
Name: 深圳卫视, URL: http://111.196.184.130:5555/rtp/239.3.1.134:8020$1920x1080, Date: 2024-09-07, Resolution: 1920x1080, Response Time: 92 ms
Name: 深圳卫视, URL: http://219.145.19.189:5555/rtp/239.112.205.67:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 92 ms
Name: 深圳卫视, URL: http://61.240.37.36:8085/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 99 ms
Name: 深圳卫视, URL: http://114.243.96.249:8888/rtp/239.3.1.134:8020$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 117 ms
Name: 深圳卫视, URL: http://xeace.cn:8888/rtp/239.93.0.182:5140$1920x1080, Date: 2024-06-08, Resolution: 1920x1080, Response Time: 134 ms
Name: 深圳卫视, URL: http://171.127.71.107:8084/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 138 ms
Name: 深圳卫视, URL: http://27.10.77.52:8006/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 138 ms
Name: 深圳卫视, URL: http://114.252.229.100:8000/rtp/239.3.1.134:8020$1920x1080, Date: 2024-09-15, Resolution: 1920x1080, Response Time: 149 ms
Name: 深圳卫视, URL: http://171.117.248.116:8083/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 158 ms
Name: 深圳卫视, URL: http://114.254.80.240:2222/rtp/239.3.1.134:8020$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 162 ms
Name: 深圳卫视, URL: http://183.134.132.54:82/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 163 ms
Name: 深圳卫视, URL: http://119.84.194.73:7777/rtp/235.254.198.71:1560$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 164 ms
Name: 深圳卫视, URL: http://219.145.19.118:5555/rtp/239.112.205.67:5140$1920x1080, Date: 2024-09-01, Resolution: 1920x1080, Response Time: 180 ms
Name: 深圳卫视, URL: http://116.227.48.27:58888/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 182 ms
Name: 深圳卫视, URL: http://27.12.238.41:8888/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 183 ms
Name: 深圳卫视, URL: http://122.238.174.242:4022/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 192 ms
Name: 深圳卫视, URL: http://123.145.42.143:58888/rtp/225.0.4.202:7980$1920x1080, Date: 2024-09-29, Resolution: 1920x1080, Response Time: 194 ms
Name: 深圳卫视, URL: http://211.158.152.104:8009/rtp/225.0.4.202:7980$1920x1080, Date: 2024-09-29, Resolution: 1920x1080, Response Time: 195 ms
Name: 深圳卫视, URL: http://219.140.242.174:8888/rtp/239.254.96.137:8896$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 199 ms
Name: 深圳卫视, URL: http://171.125.90.130:6000/rtp/226.0.2.147:9088$1920x1080, Date: 2024-09-30, Resolution: 1920x1080, Response Time: 204 ms
Name: 深圳卫视, URL: http://118.79.7.119:6001/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 206 ms
Name: 深圳卫视, URL: http://123.112.213.221:4022/rtp/239.3.1.134:8020$1920x1080, Date: 2024-09-14, Resolution: 1920x1080, Response Time: 207 ms
Name: 深圳卫视, URL: http://115.230.188.146:9999/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 229 ms
Name: 深圳卫视, URL: http://183.147.175.107:8888/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 232 ms
Name: 深圳卫视, URL: http://183.141.108.191:8888/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 237 ms
Name: 深圳卫视, URL: http://123.123.167.240:8000/rtp/239.3.1.134:8020$1920x1080, Date: 2024-06-09, Resolution: 1920x1080, Response Time: 240 ms
Name: 深圳卫视, URL: http://59.174.227.133:8880/rtp/239.254.96.137:8896$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 250 ms
Name: 深圳卫视, URL: http://122.238.2.91:4022/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 254 ms
Name: 深圳卫视, URL: http://114.225.190.118:8800/rtp/239.49.8.145:6000$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 259 ms
Name: 深圳卫视, URL: http://58.219.141.207:4001/rtp/239.49.8.145:6000$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 263 ms
Name: 深圳卫视, URL: http://115.221.82.221:8888/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 269 ms
Name: 深圳卫视, URL: http://123.118.225.236:9090/rtp/239.3.1.134:8020$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 295 ms
Name: 深圳卫视, URL: http://115.221.91.101:8888/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 298 ms
Name: 深圳卫视, URL: http://125.119.20.149:9999/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 302 ms
Name: 深圳卫视, URL: http://60.189.61.82:9999/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 302 ms
Name: 深圳卫视, URL: http://119.98.37.126:8888/rtp/239.254.96.137:8896$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 307 ms
Name: 深圳卫视, URL: http://42.92.117.251:8888/rtp/239.255.30.135:8231$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 309 ms
Name: 深圳卫视, URL: http://27.17.193.37:9100/rtp/239.254.96.137:8896$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 315 ms
Name: 深圳卫视, URL: http://113.205.92.203:8888/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 325 ms
Name: 深圳卫视, URL: http://211.158.99.34:55555/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 335 ms
Name: 深圳卫视, URL: http://220.168.76.75:8888/rtp/239.76.253.188:9000$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 341 ms
Name: 深圳卫视, URL: http://60.187.112.70:4022/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 344 ms
Name: 深圳卫视, URL: http://118.112.90.117:55555/rtp/239.93.0.182:5140$1920x1080, Date: 2024-09-30, Resolution: 1920x1080, Response Time: 348 ms
Name: 深圳卫视, URL: http://58.219.128.130:4001/rtp/239.49.8.145:6000$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 348 ms
Name: 深圳卫视, URL: http://171.119.205.235:6001/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 351 ms
Name: 深圳卫视, URL: http://101.68.81.44:9999/rtp/233.50.201.101:5140$1920x1080, Date: 2024-05-20, Resolution: 1920x1080, Response Time: 351 ms
Name: 深圳卫视, URL: http://171.213.204.254:8000/rtp/239.93.0.182:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 352 ms
Name: 深圳卫视, URL: http://222.70.184.41:9898/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 353 ms
Name: 深圳卫视, URL: http://171.125.90.105:6001/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 357 ms
Name: 深圳卫视, URL: http://59.174.77.83:8848/rtp/239.254.96.137:8896$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 358 ms
Name: 深圳卫视, URL: http://60.223.72.93:8001/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 359 ms
